"","ParticipantName","Trial","Condition","Age","MCDI_Total","MCDI_Nouns","MCDI_Verbs","KnownVerb","KnownAnimal","Verb","y","N","elog","wts","Proportion","ArcSin"
"1","ANCAT132","UnfamiliarArmadillo","Informative",16.11,"0","0","0",0,0,"Look",94,94,5.24174701505964,2.01058201058201,1,1.5707963267949
"2","ANCAT103","UnfamiliarArmadillo","Neutral",15.71,"3","1","0",0,0,"Look",55,329,-1.5985682401972,0.0216610052675626,0.167173252279635,0.421213578749783
"3","ANCAT127","UnfamiliarArmadillo","Informative",14.79,"5","1","0",0,0,"Look",208,329,0.540024778458253,0.0130266157444415,0.632218844984802,0.919208568459007
"4","ANCAT93","UnfamiliarArmadillo","Informative",14.5,"10","3","0",0,0,"Look",0,245,-6.19644412779452,2.0040733197556,0,0
"5","ANCAT126","UnfamiliarArmadillo","Neutral",15.22,"6","4","0",0,0,"Look",146,294,-0.0135595297856324,0.0135599453005596,0.496598639455782,0.781996776618549
"6","ANCAT106","UnfamiliarArmadillo","Neutral",14.43,"7","4","0",0,0,"Look",127,127,5.54126354515843,2.0078431372549,1,1.5707963267949
"7","ANCAT120","UnfamiliarArmadillo","Informative",14.56,"8","4","0",0,0,"Look",102,153,0.688280990908772,0.0291735732891309,0.666666666666667,0.955316618124509
"8","ANCAT130","UnfamiliarArmadillo","Neutral",15.35,"6","5","0",0,0,"Look",141,327,-0.276131522000578,0.0124290681040934,0.431192660550459,0.716371775427343
"9","ANCAT129","UnfamiliarArmadillo","Informative",15.55,"11","5","0",0,0,"Look",104,144,0.947885097292372,0.034260736015122,0.722222222222222,1.01567515923811
"10","ANCAT112","UnfamiliarArmadillo","Neutral",17.42,"9","6","0",0,0,"Look",0,33,-4.20469261939097,2.02985074626866,0,0
"11","ANCAT102","UnfamiliarArmadillo","Neutral",16.73,"13","6","0",0,0,"Look",39,158,-1.10701569946449,0.0336846565330226,0.246835443037975,0.519936885325268
"12","ANCAT115","UnfamiliarArmadillo","Informative",14.93,"12","7","0",0,0,"Look",46,148,-0.790410485985152,0.0312614739050616,0.310810810810811,0.591376265211882
"13","ANCAT99","UnfamiliarArmadillo","Neutral",16.18,"13","7","0",0,0,"Look",93,105,2.01223279198639,0.0906951871657754,0.885714285714286,1.22593974980959
"14","ANCAT98","UnfamiliarArmadillo","Neutral",16.18,"14","7","0",0,0,"Look",70,191,-0.54430155296238,0.0224148498380177,0.366492146596859,0.650250679318871
"15","ANCAT119","UnfamiliarArmadillo","Neutral",17.52,"16","8","0",0,0,"Look",154,297,0.0738590611381244,0.0134411330243677,0.518518518518518,0.803920918303494
"16","ANCAT92","UnfamiliarArmadillo","Informative",16.08,"21","11","0",0,0,"Look",109,229,-0.0957252036741542,0.0174311752780462,0.475982532751092,0.761371450408458
"17","ANCAT118","UnfamiliarArmadillo","Neutral",15.25,"27","15","0",0,0,"Look",89,157,0.26740488001263,0.0257717245035273,0.56687898089172,0.85247819128801
"18","ANCAT133","UnfamiliarArmadillo","Neutral",14.6,"38","24","0",0,0,"Look",197,328,0.406731732723357,0.0126678538768831,0.600609756097561,0.886699532740665
"19","ANCAT114","UnfamiliarArmadillo","Neutral",15.88,"24","15","1",0,0,"Look",31,31,4.14313472639153,2.03174603174603,1,1.5707963267949
"20","ANCAT96","UnfamiliarArmadillo","Neutral",16.54,"20","9","2",0,0,"Look",184,319,0.308677823160826,0.01280012800128,0.576802507836991,0.862505943178423
"21","ANCAT131","UnfamiliarArmadillo","Neutral",15.62,"31","18","2",0,0,"Look",206,223,2.46809953147162,0.0619854721549637,0.923766816143498,1.29105860568427
"22","ANCAT128","UnfamiliarArmadillo","Neutral",17.52,"30","20","2",0,0,"Look",210,328,0.57457269254725,0.0131894123896289,0.640243902439024,0.927549301882795
"23","ANCAT108","UnfamiliarArmadillo","Informative",14.2,"0","0","0",1,0,"Look",152,152,5.72031177660741,2.00655737704918,1,1.5707963267949
"24","ANCAT97","UnfamiliarArmadillo","Informative",14.2,"3","1","0",1,0,"Look",176,268,0.646112231854972,0.0164765331904142,0.656716417910448,0.944801103506225
"25","ANCAT105","UnfamiliarArmadillo","Informative",14.76,"7","3","0",1,0,"Look",175,318,0.201304007706245,0.0126666468129883,0.550314465408805,0.835797933666413
"26","ANCAT104","UnfamiliarArmadillo","Informative",17.82,"17","8","0",1,0,"Look",90,101,2.06300281533668,0.0980062454960365,0.891089108910891,1.23447527110983
"27","ANCAT116","UnfamiliarArmadillo","Informative",16.21,"2","0","1",1,0,"Look",74,257,-0.901415542109111,0.0188724100726003,0.287937743190661,0.566400701733531
"28","ANCAT100","UnfamiliarArmadillo","Informative",14.27,"12","3","1",1,0,"Look",23,23,3.85014760171006,2.04255319148936,1,1.5707963267949
"29","ANCAT122","UnfamiliarArmadillo","Informative",14.5,"19","8","1",1,0,"Look",0,46,-4.53259949315326,2.02150537634409,0,0
"30","ANCAT132","UnfamiliarFlamingo","Informative",16.11,"0","0","0",0,0,"Dance",114,114,5.43372200355424,2.00873362445415,1,1.5707963267949
"31","ANCAT97","UnfamiliarFlamingo","Informative",14.2,"3","1","0",0,0,"Dance",48,108,-0.221079567093358,0.0371474823208656,0.444444444444444,0.729727656226966
"32","ANCAT103","UnfamiliarFlamingo","Neutral",15.71,"3","1","0",0,0,"Dance",45,273,-1.61382388437735,0.0263543895929016,0.164835164835165,0.418071683388735
"33","ANCAT127","UnfamiliarFlamingo","Informative",14.79,"5","1","0",0,0,"Dance",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"34","ANCAT93","UnfamiliarFlamingo","Informative",14.5,"10","3","0",0,0,"Dance",0,60,-4.79579054559674,2.01652892561983,0,0
"35","ANCAT126","UnfamiliarFlamingo","Neutral",15.22,"6","4","0",0,0,"Dance",273,310,1.98696068888567,0.0303229737964656,0.880645161290323,1.21804854985482
"36","ANCAT106","UnfamiliarFlamingo","Neutral",14.43,"7","4","0",0,0,"Dance",148,252,0.351397886837889,0.0163033847244374,0.587301587301587,0.87314953218531
"37","ANCAT130","UnfamiliarFlamingo","Neutral",15.35,"6","5","0",0,0,"Dance",155,239,0.609894197256161,0.0182651876938298,0.648535564853556,0.936210083263982
"38","ANCAT112","UnfamiliarFlamingo","Neutral",17.42,"9","6","0",0,0,"Dance",148,210,0.865418401500398,0.0227340067340067,0.704761904761905,0.996364180243338
"39","ANCAT98","UnfamiliarFlamingo","Neutral",16.18,"14","7","0",0,0,"Dance",130,219,0.377134601481938,0.018836019606584,0.593607305936073,0.879561090017407
"40","ANCAT119","UnfamiliarFlamingo","Neutral",17.52,"16","8","0",0,0,"Dance",231,231,6.13772705408623,2.00431965442765,1,1.5707963267949
"41","ANCAT118","UnfamiliarFlamingo","Neutral",15.25,"27","15","0",0,0,"Dance",109,124,1.95508452533135,0.0736485491235823,0.879032258064516,1.21556829242796
"42","ANCAT133","UnfamiliarFlamingo","Neutral",14.6,"38","24","0",0,0,"Dance",99,176,0.249879707805246,0.022953477062733,0.5625,0.848062078981481
"43","ANCAT114","UnfamiliarFlamingo","Neutral",15.88,"24","15","1",0,0,"Dance",58,127,-0.172299998332936,0.0314825063026502,0.456692913385827,0.742036744760577
"44","ANCAT96","UnfamiliarFlamingo","Neutral",16.54,"20","9","2",0,0,"Dance",223,319,0.839868405708683,0.0148369672311669,0.699059561128527,0.990130941886798
"45","ANCAT131","UnfamiliarFlamingo","Neutral",15.62,"31","18","2",0,0,"Dance",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"46","ANCAT128","UnfamiliarFlamingo","Neutral",17.52,"30","20","2",0,0,"Dance",275,275,6.31173480915291,2.00362976406534,1,1.5707963267949
"47","ANCAT129","UnfamiliarFlamingo","Informative",15.55,"11","5","0",1,0,"Dance",197,219,2.1722232751308,0.049507735583685,0.899543378995434,1.24828550776728
"48","ANCAT104","UnfamiliarFlamingo","Informative",17.82,"17","8","0",1,0,"Dance",126,145,1.86982784259787,0.0591871896219722,0.868965517241379,1.20039791399813
"49","ANCAT92","UnfamiliarFlamingo","Informative",16.08,"21","11","0",1,0,"Dance",145,145,5.67332326717149,2.00687285223368,1,1.5707963267949
"50","ANCAT116","UnfamiliarFlamingo","Informative",16.21,"2","0","1",1,0,"Dance",132,323,-0.368305163194424,0.0127691019262033,0.408668730650155,0.693551226243319
"51","ANCAT122","UnfamiliarFlamingo","Informative",14.5,"19","8","1",1,0,"Dance",76,76,5.03043792139244,2.01307189542484,1,1.5707963267949
"52","ANCAT132","UnfamiliarHedgehog","Informative",16.11,"0","0","0",0,0,"Sleep",11,103,-2.08486160914918,0.0977673325499412,0.106796116504854,0.332912238236951
"53","ANCAT103","UnfamiliarHedgehog","Neutral",15.71,"3","1","0",0,0,"Sleep",299,327,2.3522103302809,0.0384266174618516,0.914373088685015,1.27382990472373
"54","ANCAT93","UnfamiliarHedgehog","Informative",14.5,"10","3","0",0,0,"Sleep",135,135,5.6021188208797,2.00738007380074,1,1.5707963267949
"55","ANCAT126","UnfamiliarHedgehog","Neutral",15.22,"6","4","0",0,0,"Sleep",89,201,-0.228714596363665,0.0200620732464308,0.442786069651741,0.728058634238445
"56","ANCAT106","UnfamiliarHedgehog","Neutral",14.43,"7","4","0",0,0,"Sleep",87,220,-0.422462684476735,0.0189192081326913,0.395454545454545,0.680075549525031
"57","ANCAT130","UnfamiliarHedgehog","Neutral",15.35,"6","5","0",0,0,"Sleep",123,325,-0.494498730478562,0.0130354375968411,0.378461538461538,0.662629833735017
"58","ANCAT112","UnfamiliarHedgehog","Neutral",17.42,"9","6","0",0,0,"Sleep",94,191,-0.0312525435041044,0.0208384208384208,0.492146596858639,0.777544437309548
"59","ANCAT102","UnfamiliarHedgehog","Neutral",16.73,"13","6","0",0,0,"Sleep",247,267,2.49098569586438,0.0528208918452821,0.925093632958802,1.2935686062588
"60","ANCAT99","UnfamiliarHedgehog","Neutral",16.18,"13","7","0",0,0,"Sleep",102,103,4.2243976904703,0.676422764227642,0.990291262135922,1.47210325995613
"61","ANCAT98","UnfamiliarHedgehog","Neutral",16.18,"14","7","0",0,0,"Sleep",142,213,0.689644550008743,0.0210035578456631,0.666666666666667,0.955316618124509
"62","ANCAT119","UnfamiliarHedgehog","Neutral",17.52,"16","8","0",0,0,"Sleep",121,211,0.294564412074723,0.0192801764318032,0.57345971563981,0.859124754757122
"63","ANCAT92","UnfamiliarHedgehog","Informative",16.08,"21","11","0",0,0,"Sleep",180,319,0.257666176511515,0.0127086249863482,0.564263322884012,0.84983974327234
"64","ANCAT118","UnfamiliarHedgehog","Neutral",15.25,"27","15","0",0,0,"Sleep",74,216,-0.648542874323191,0.0204403626515954,0.342592592592593,0.625267392381302
"65","ANCAT114","UnfamiliarHedgehog","Neutral",15.88,"24","15","1",0,0,"Sleep",89,179,-0.0111112254250707,0.022222908114448,0.497206703910615,0.782604852778058
"66","ANCAT96","UnfamiliarHedgehog","Neutral",16.54,"20","9","2",0,0,"Sleep",38,212,-1.51126650034874,0.0317046849998139,0.179245283018868,0.437166000135793
"67","ANCAT131","UnfamiliarHedgehog","Neutral",15.62,"31","18","2",0,0,"Sleep",149,230,0.606693372583924,0.0189589018610091,0.647826086956522,0.935467233339441
"68","ANCAT128","UnfamiliarHedgehog","Neutral",17.52,"30","20","2",0,0,"Sleep",147,299,-0.0333364202675918,0.0133370380661295,0.491638795986622,0.777036569648667
"69","ANCAT108","UnfamiliarHedgehog","Informative",14.2,"0","0","0",1,0,"Sleep",102,151,0.727890129003818,0.0299581177629958,0.675496688741722,0.964714046078889
"70","ANCAT97","UnfamiliarHedgehog","Informative",14.2,"3","1","0",1,0,"Sleep",217,328,0.668174259628565,0.0135663110148961,0.661585365853659,0.949937211985387
"71","ANCAT105","UnfamiliarHedgehog","Informative",14.76,"7","3","0",1,0,"Sleep",231,305,1.13378074814077,0.0177424732195921,0.757377049180328,1.05575856567421
"72","ANCAT120","UnfamiliarHedgehog","Informative",14.56,"8","4","0",1,0,"Sleep",0,262,-6.26339826259162,2.00380952380952,0,0
"73","ANCAT129","UnfamiliarHedgehog","Informative",15.55,"11","5","0",1,0,"Sleep",146,183,1.36268449548076,0.0334926052332196,0.797814207650273,1.10442203990754
"74","ANCAT115","UnfamiliarHedgehog","Informative",14.93,"12","7","0",1,0,"Sleep",0,12,-3.2188758248682,2.08,0,0
"75","ANCAT104","UnfamiliarHedgehog","Informative",17.82,"17","8","0",1,0,"Sleep",131,220,0.38476822633701,0.0187777470951845,0.595454545454545,0.881442257257558
"76","ANCAT116","UnfamiliarHedgehog","Informative",16.21,"2","0","1",1,0,"Sleep",41,152,-0.988331163663521,0.0330649954076395,0.269736842105263,0.546104142557252
"77","ANCAT122","UnfamiliarHedgehog","Informative",14.5,"19","8","1",1,0,"Sleep",0,129,-5.55682806169954,2.00772200772201,0,0
"78","ANCAT133","UnfamiliarHedgehog","Neutral",14.6,"38","24","0",0,1,"Sleep",185,329,0.249775374495003,0.0123112508044283,0.562310030395137,0.847870612231227
"79","ANCAT132","UnfamiliarLemur","Informative",16.11,"0","0","0",0,0,"Eat",117,141,1.56776521603353,0.0493269648284846,0.829787234042553,1.14552440421019
"80","ANCAT103","UnfamiliarLemur","Neutral",15.71,"3","1","0",0,0,"Eat",284,318,2.10977392952907,0.0325004457349533,0.893081761006289,1.23768643558023
"81","ANCAT127","UnfamiliarLemur","Informative",14.79,"5","1","0",0,0,"Eat",188,292,0.5899109354832,0.014874417778229,0.643835616438356,0.931295361439155
"82","ANCAT126","UnfamiliarLemur","Neutral",15.22,"6","4","0",0,0,"Eat",135,191,0.87473100216736,0.0250791888449858,0.706806282722513,0.998607353271472
"83","ANCAT130","UnfamiliarLemur","Neutral",15.35,"6","5","0",0,0,"Eat",176,324,0.172735918130597,0.0123997291136101,0.54320987654321,0.828662006090264
"84","ANCAT112","UnfamiliarLemur","Neutral",17.42,"9","6","0",0,0,"Eat",112,204,0.195744577126095,0.0196996996996997,0.549019607843137,0.834496639706868
"85","ANCAT102","UnfamiliarLemur","Neutral",16.73,"13","6","0",0,0,"Eat",194,258,1.10376693925677,0.0206452641437994,0.751937984496124,1.04943824915101
"86","ANCAT99","UnfamiliarLemur","Neutral",16.18,"13","7","0",0,0,"Eat",17,35,-0.0555698511548108,0.111196911196911,0.485714285714286,0.771110504762802
"87","ANCAT98","UnfamiliarLemur","Neutral",16.18,"14","7","0",0,0,"Eat",101,149,0.738495000538405,0.0304707734497994,0.677852348993289,0.967232148763121
"88","ANCAT119","UnfamiliarLemur","Neutral",17.52,"16","8","0",0,0,"Eat",108,134,1.40960543998834,0.0469524389183549,0.805970149253731,1.11465393157727
"89","ANCAT118","UnfamiliarLemur","Neutral",15.25,"27","15","0",0,0,"Eat",136,236,0.306166887125884,0.0172762560822262,0.576271186440678,0.861968285336736
"90","ANCAT133","UnfamiliarLemur","Neutral",14.6,"38","24","0",0,0,"Eat",274,324,1.69297792466827,0.0234449674475644,0.845679012345679,1.16708164013437
"91","ANCAT114","UnfamiliarLemur","Neutral",15.88,"24","15","1",0,0,"Eat",100,220,-0.181492025431579,0.0182490039429409,0.454545454545455,0.739880774378741
"92","ANCAT96","UnfamiliarLemur","Neutral",16.54,"20","9","2",0,0,"Eat",223,310,0.937772620690055,0.0159028443592202,0.719354838709677,1.01247930838048
"93","ANCAT131","UnfamiliarLemur","Neutral",15.62,"31","18","2",0,0,"Eat",0,26,-3.97029191355212,2.0377358490566,0,0
"94","ANCAT128","UnfamiliarLemur","Neutral",17.52,"30","20","2",0,0,"Eat",141,317,-0.221021159290059,0.0127328601887907,0.444794952681388,0.730080334459904
"95","ANCAT108","UnfamiliarLemur","Informative",14.2,"0","0","0",1,0,"Eat",38,203,-1.45831295352338,0.0320163220465335,0.187192118226601,0.44743786794605
"96","ANCAT97","UnfamiliarLemur","Informative",14.2,"3","1","0",1,0,"Eat",111,196,0.265508214957459,0.0206645162982194,0.566326530612245,0.851920773515269
"97","ANCAT105","UnfamiliarLemur","Informative",14.76,"7","3","0",1,0,"Eat",250,315,1.34140877788371,0.019259191540583,0.793650793650794,1.0992585722264
"98","ANCAT120","UnfamiliarLemur","Informative",14.56,"8","4","0",1,0,"Eat",50,280,-1.51827752615539,0.024140374991946,0.178571428571429,0.436286926716168
"99","ANCAT129","UnfamiliarLemur","Informative",15.55,"11","5","0",1,0,"Eat",91,105,1.84219032285495,0.0798944789900132,0.866666666666667,1.19700415196039
"100","ANCAT115","UnfamiliarLemur","Informative",14.93,"12","7","0",1,0,"Eat",55,154,-0.583774623412158,0.0280682692742994,0.357142857142857,0.640522312679424
"101","ANCAT104","UnfamiliarLemur","Informative",17.82,"17","8","0",1,0,"Eat",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"102","ANCAT92","UnfamiliarLemur","Informative",16.08,"21","11","0",1,0,"Eat",236,314,1.10284958314362,0.0169671833129099,0.751592356687898,1.04903820654634
"103","ANCAT116","UnfamiliarLemur","Informative",16.21,"2","0","1",1,0,"Eat",127,306,-0.342058843329853,0.0134141678955705,0.415032679738562,0.700016491092308
"104","ANCAT100","UnfamiliarLemur","Informative",14.27,"12","3","1",1,0,"Eat",7,26,-0.955511445027436,0.184615384615385,0.269230769230769,0.545533844559572
"105","ANCAT122","UnfamiliarLemur","Informative",14.5,"19","8","1",1,0,"Eat",43,105,-0.362405618647717,0.0389885057471264,0.40952380952381,0.69442079737923
"106","ANCAT132","UnfamiliarLizard","Informative",16.11,"0","0","0",0,0,"Cry",72,159,-0.18805223150294,0.0252216748768473,0.452830188679245,0.738158102087739
"107","ANCAT103","UnfamiliarLizard","Neutral",15.71,"3","1","0",0,0,"Cry",172,289,0.383958902887201,0.0143077397471477,0.595155709342561,0.881137839889649
"108","ANCAT127","UnfamiliarLizard","Informative",14.79,"5","1","0",0,0,"Cry",120,197,0.441371816571408,0.0212019809931736,0.609137055837564,0.895420957196668
"109","ANCAT105","UnfamiliarLizard","Informative",14.76,"7","3","0",0,0,"Cry",137,324,-0.31015492830384,0.0126060606060606,0.422839506172839,0.707928077704477
"110","ANCAT93","UnfamiliarLizard","Informative",14.5,"10","3","0",0,0,"Cry",12,43,-0.924258901523332,0.111746031746032,0.27906976744186,0.556562403348715
"111","ANCAT126","UnfamiliarLizard","Neutral",15.22,"6","4","0",0,0,"Cry",223,277,1.41121071238443,0.0228228967838598,0.805054151624549,1.11349680108255
"112","ANCAT106","UnfamiliarLizard","Neutral",14.43,"7","4","0",0,0,"Cry",73,141,0.0704516609506113,0.0282039823228561,0.517730496453901,0.803132377919075
"113","ANCAT120","UnfamiliarLizard","Informative",14.56,"8","4","0",0,0,"Cry",78,292,-1.00521111357971,0.0174008581651894,0.267123287671233,0.54315524832211
"114","ANCAT130","UnfamiliarLizard","Neutral",15.35,"6","5","0",0,0,"Cry",116,327,-0.596333725480577,0.0133118233748313,0.35474006116208,0.638013111283176
"115","ANCAT112","UnfamiliarLizard","Neutral",17.42,"9","6","0",0,0,"Cry",34,73,-0.135341347869762,0.0543019629425793,0.465753424657534,0.751124754474974
"116","ANCAT102","UnfamiliarLizard","Neutral",16.73,"13","6","0",0,0,"Cry",68,304,-1.23911446266381,0.0188268699557106,0.223684210526316,0.492638918708517
"117","ANCAT99","UnfamiliarLizard","Neutral",16.18,"13","7","0",0,0,"Cry",0,115,-5.44241771052179,2.00865800865801,0,0
"118","ANCAT98","UnfamiliarLizard","Neutral",16.18,"14","7","0",0,0,"Cry",222,314,0.877718457087915,0.0153051928332827,0.707006369426752,0.998827141325695
"119","ANCAT119","UnfamiliarLizard","Neutral",17.52,"16","8","0",0,0,"Cry",13,81,-1.6241440598238,0.0886726142200595,0.160493827160494,0.412189938104705
"120","ANCAT92","UnfamiliarLizard","Informative",16.08,"21","11","0",0,0,"Cry",94,201,-0.12889101306802,0.0198843361634059,0.467661691542289,0.753037266854675
"121","ANCAT118","UnfamiliarLizard","Neutral",15.25,"27","15","0",0,0,"Cry",86,258,-0.690252822533581,0.0173577950908939,0.333333333333333,0.615479708670387
"122","ANCAT96","UnfamiliarLizard","Neutral",16.54,"20","9","2",0,0,"Cry",54,82,0.648296614394594,0.0534363431514566,0.658536585365854,0.94671907425849
"123","ANCAT131","UnfamiliarLizard","Neutral",15.62,"31","18","2",0,0,"Cry",52,140,-0.522189382416306,0.0303470540758676,0.371428571428571,0.655365927040252
"124","ANCAT128","UnfamiliarLizard","Neutral",17.52,"30","20","2",0,0,"Cry",269,329,1.49392502531226,0.0202395007589813,0.817629179331307,1.12956966621781
"125","ANCAT104","UnfamiliarLizard","Informative",17.82,"17","8","0",1,0,"Cry",0,5,-2.39789527279837,2.18181818181818,0,0
"126","ANCAT116","UnfamiliarLizard","Informative",16.21,"2","0","1",1,0,"Cry",196,309,0.548859594387858,0.0138996312113977,0.634304207119741,0.921372194082736
"127","ANCAT100","UnfamiliarLizard","Informative",14.27,"12","3","1",1,0,"Cry",0,71,-4.96284463025991,2.01398601398601,0,0
"128","ANCAT97","UnfamiliarLizard","Informative",14.2,"3","1","0",0,1,"Cry",94,220,-0.291642473667878,0.0184871489219315,0.427272727272727,0.712411969125346
"129","ANCAT133","UnfamiliarLizard","Neutral",14.6,"38","24","0",0,1,"Cry",183,320,0.288590750387999,0.0127223185533812,0.571875,0.857523032178509
"130","ANCAT114","UnfamiliarLizard","Neutral",15.88,"24","15","1",0,1,"Cry",173,216,1.38341666129228,0.0287521945079334,0.800925925925926,1.10830713268117
"131","ANCAT122","UnfamiliarLizard","Informative",14.5,"19","8","1",1,1,"Cry",46,204,-1.22630228072402,0.0278145246090702,0.225490196078431,0.494802763329643
"132","ANCAT132","UnfamiliarRhino","Informative",16.11,"0","0","0",0,0,"Drink",112,241,-0.140727659495118,0.0166108966108966,0.464730290456432,0.750099138940061
"133","ANCAT103","UnfamiliarRhino","Neutral",15.71,"3","1","0",0,0,"Drink",139,322,-0.274150066233205,0.012618050062016,0.43167701863354,0.716860752893728
"134","ANCAT127","UnfamiliarRhino","Informative",14.79,"5","1","0",0,0,"Drink",301,330,2.32437975282147,0.0372150546701521,0.912121212121212,1.26982965414841
"135","ANCAT126","UnfamiliarRhino","Neutral",15.22,"6","4","0",0,0,"Drink",191,321,0.383514581857953,0.0128847673639247,0.595015576323987,0.880995102037014
"136","ANCAT106","UnfamiliarRhino","Neutral",14.43,"7","4","0",0,0,"Drink",70,145,-0.0685199464367561,0.0274294302757033,0.482758620689655,0.768153365416609
"137","ANCAT130","UnfamiliarRhino","Neutral",15.35,"6","5","0",0,0,"Drink",58,325,-1.52009281209825,0.0208323348510264,0.178461538461538,0.436143447158797
"138","ANCAT112","UnfamiliarRhino","Neutral",17.42,"9","6","0",0,0,"Drink",206,276,1.07468770258286,0.0190270121752271,0.746376811594203,1.04302386232225
"139","ANCAT99","UnfamiliarRhino","Neutral",16.18,"13","7","0",0,0,"Drink",130,215,0.422856850820034,0.0193587416817907,0.604651162790698,0.890828877381786
"140","ANCAT98","UnfamiliarRhino","Neutral",16.18,"14","7","0",0,0,"Drink",167,229,0.985816794522765,0.0219701492537313,0.729257641921397,1.02356005891516
"141","ANCAT119","UnfamiliarRhino","Neutral",17.52,"16","8","0",0,0,"Drink",17,197,-2.33352989684347,0.0626830233478433,0.0862944162436548,0.298157096240435
"142","ANCAT96","UnfamiliarRhino","Neutral",16.54,"20","9","2",0,0,"Drink",156,293,0.129432092873582,0.0136625036305547,0.532423208191126,0.817844138272762
"143","ANCAT131","UnfamiliarRhino","Neutral",15.62,"31","18","2",0,0,"Drink",193,285,0.738068867951457,0.0159787694671416,0.67719298245614,0.966526829984167
"144","ANCAT128","UnfamiliarRhino","Neutral",17.52,"30","20","2",0,0,"Drink",164,259,0.543784322718742,0.0165502315441048,0.633204633204633,0.920231030635208
"145","ANCAT108","UnfamiliarRhino","Informative",14.2,"0","0","0",1,0,"Drink",59,199,-0.859231176222216,0.0239241604114956,0.296482412060302,0.575795248848613
"146","ANCAT97","UnfamiliarRhino","Informative",14.2,"3","1","0",1,0,"Drink",81,142,0.281565845434345,0.0285301012519328,0.570422535211268,0.85605563449396
"147","ANCAT105","UnfamiliarRhino","Informative",14.76,"7","3","0",1,0,"Drink",158,316,0,0.0126182965299685,0.5,0.785398163397448
"148","ANCAT120","UnfamiliarRhino","Informative",14.56,"8","4","0",1,0,"Drink",95,195,-0.0510314800124459,0.0204214529447006,0.487179487179487,0.772576245327389
"149","ANCAT129","UnfamiliarRhino","Informative",15.55,"11","5","0",1,0,"Drink",122,151,1.42372076663901,0.0420615703908682,0.80794701986755,1.11715830253097
"150","ANCAT115","UnfamiliarRhino","Informative",14.93,"12","7","0",1,0,"Drink",11,29,-0.475423696715075,0.141010575793184,0.379310344827586,0.663504694163281
"151","ANCAT104","UnfamiliarRhino","Informative",17.82,"17","8","0",1,0,"Drink",164,261,0.523058192201625,0.0163354376120334,0.628352490421456,0.915203856929543
"152","ANCAT92","UnfamiliarRhino","Informative",16.08,"21","11","0",1,0,"Drink",282,328,1.80422623799319,0.0250451993529356,0.859756097560976,1.18694799332478
"153","ANCAT116","UnfamiliarRhino","Informative",16.21,"2","0","1",1,0,"Drink",0,308,-6.42486902390539,2.0032414910859,0,0
"154","ANCAT100","UnfamiliarRhino","Informative",14.27,"12","3","1",1,0,"Drink",25,71,-0.60077386042893,0.0607210626185958,0.352112676056338,0.635264989529311
"155","ANCAT122","UnfamiliarRhino","Informative",14.5,"19","8","1",1,0,"Drink",146,146,5.68017260901707,2.00682593856655,1,1.5707963267949
"156","ANCAT118","UnfamiliarRhino","Neutral",15.25,"27","15","0",0,1,"Drink",61,95,0.578077850775158,0.0452456698480028,0.642105263157895,0.92948961198147
"157","ANCAT133","UnfamiliarRhino","Neutral",14.6,"38","24","0",0,1,"Drink",172,316,0.177117728918928,0.0127175166741889,0.544303797468354,0.829760140432218
"158","ANCAT114","UnfamiliarRhino","Neutral",15.88,"24","15","1",0,1,"Drink",50,103,-0.0577083176206467,0.0384935689830665,0.485436893203884,0.770832996746149
