"Subject","Age","Sex","Bilingual","Condition","Order","FamCategory","FamFirstSide","NoveltySide","TotalFamLooking","FamLookingProp","FamExemplarsObserved","Fam1s","Fam2s","Fam3s","Fam4s","Fam5s","Fam6s","Fam7s","Fam8s","TotalTestLooking","TestLookingProp","TestNoveltyPreference","TestNoveltyPreference_10s","Categorized","MCDI_Noun","MCDI_Verb","MCDI_Total","Future_MCDI_Comp_Total","Future_MCDI_Comp_Nouns","Future_MCDI_Comp_Verbs","Future_MCDI_Comp_Adjectives","Future_MCDI_Prod_Total","Future_MCDI_Prod_Nouns","Future_MCDI_Prod_Verbs","Future_MCDI_Prod_Adjectives","Fam1Block","Fam2Block","BlockDiff","MCDI_NotNoun","Future_MCDI_Comp_NotNouns","Future_MCDI_Prod_NotNouns"
1,11.64,"Female",0,"VARNOUN-12","DINO-LEFT-FD","DINO","LEFT","LEFT",17150,0.713691219309197,8,14.21926910299,13.1447587354409,17.79632721202,12.6544240400668,15.5740432612313,12.3460898502496,14.675540765391,13.7873754152824,2310,0.768718801996672,0.452380952380952,0.446666666666667,"No Categorization",6,0,11,73,40,11,6,37,24,2,2,14.4536947726294,14.0957623230386,-0.357932449590852,5,33,13
2,12.27,"Male",0,"VARNOUN-12","DINO-RIGHT-DF","DINO","RIGHT","RIGHT",10345,0.43050353724511,8,10.5647840531561,6.93333333333333,7.68718801996672,11.3,8.93333333333333,6.12312811980033,8.06666666666667,9.26910299003322,1710,0.569051580698835,0.476608187134503,0.488,"No Categorization",15,2,24,70,42,10,5,59,36,8,5,9.12132635161404,8.09805777745839,-1.02326857415565,9,28,23
3,12.3,"Female",0,"VARNOUN-12","FISH-LEFT-FD","FISH","LEFT","RIGHT",20185,0.840516343951697,8,18.5382059800664,19.2654424040067,19.1652754590985,19.4342762063228,15.9666666666667,13.0782029950083,16.4059900166389,12.6333333333333,2060,0.685524126455907,0.356796116504854,0.326,"No Categorization",20,5,27,88,50,11,7,59,35,5,5,19.1008000123736,14.5210482529118,-4.5797517594618,7,38,24
4,12.07,"Male",0,"VARNOUN-12","FISH-RIGHT-DF","FISH","RIGHT","LEFT",18530,0.771601082656673,8,17.9333333333333,16.5058236272879,16.1397670549085,17.7371048252912,11.1519198664441,12.8,15.5740432612313,15.6,2465,0.820299500831947,0.521298174442191,0.602666666666667,"Categorization",10,3,17,72,44,10,5,52,34,6,1,17.0790072102052,13.7814907819188,-3.29751642828638,7,28,18
5,12.46,"Male",0,"VARNOUN-12","DINO-LEFT-DF","DINO","LEFT","RIGHT",13495,0.56194045388299,8,15.3078202995008,18.4307178631052,4.64106844741235,12.093023255814,6.73333333333333,11.9800332778702,5.99001663893511,14.7333333333333,1710,0.569051580698835,0.728070175438597,0.688,"Categorization",14,1,28,NA,NA,NA,NA,NA,NA,NA,NA,12.6181574664581,9.85917914586799,-2.7589783205901,14,NA,NA
6,12.33,"Female",0,"VARNOUN-12","DINO-LEFT-FD","DINO","LEFT","LEFT",12500,0.520291363163371,8,10.4666666666667,8.70431893687708,11.0333333333333,13,10.7154742096506,5.35773710482529,14.6511627906977,9.31552587646077,1310,0.435940099833611,0.259541984732824,0.26063829787234,"No Categorization",15,2,23,NA,NA,NA,NA,NA,NA,NA,NA,10.8010797342193,10.0099749954086,-0.791104738810679,8,NA,NA
7,11.61,"Female",0,"VARNOUN-12","DINO-RIGHT-FD","DINO","RIGHT","LEFT",13895,0.592410999786826,8,14.5666666666667,13.4442595673877,15.6646216768916,12.9,8.38063439065109,5,12.0598006644518,13.4666666666667,2270,0.75540765391015,0.700440528634361,0.694666666666667,"Categorization",6,1,14,NA,NA,NA,NA,NA,NA,NA,NA,14.1438869777365,9.7267754304424,-4.4171115472941,8,NA,NA
8,11.64,"Female",0,"VARNOUN-12","FISH-LEFT-DF","FISH","LEFT","LEFT",11720,0.487723678734915,8,8.75207986688852,14.2096505823627,8.05324459234609,12.0666666666667,8.56666666666667,10.4651162790698,5.6,10.3161397670549,1945,0.647254575707155,0.44987146529563,0.506,"Categorization",0,0,0,56,41,6,2,9,8,0,0,10.770410427066,8.73698067819784,-2.03342974886816,0,15,1
9,12.3,"Male",0,"VARNOUN-12","FISH-RIGHT-FD","FISH","RIGHT","RIGHT",18040,0.751040799333888,8,17.1666666666667,11.4475873544093,17.2757475083056,18.9983305509182,18.4,12.4126455906822,8.93687707641196,15.559265442404,2715,0.903494176372712,0.756906077348066,0.594,"Categorization",9,0,13,NA,NA,NA,NA,NA,NA,NA,NA,16.222083020075,13.8271970273745,-2.39488599270041,4,NA,NA
10,11.64,"Female",0,"VARNOUN-12","DINO-RIGHT-FD","DINO","RIGHT","LEFT",20210,0.841382181515404,8,19.6345514950166,18.2666666666667,17.6627712854758,18.8704318936877,19.0666666666667,18.1364392678869,13,9.96666666666667,685,0.227953410981697,0.569343065693431,0.568940493468795,"Categorization",3,0,4,22,16,1,0,8,6,0,0,18.6086053352117,15.0424431503051,-3.56616218490663,1,6,2
11,11.57,"Male",0,"VARNOUN-12","FISH-RIGHT-DF","FISH","RIGHT","LEFT",22780,0.948178980228928,8,19.3,19.567387687188,19.6,20,19.4342762063228,17.9034941763727,16.4119601328904,19.5,2780,0.925124792013311,0.669064748201439,0.641333333333333,"Categorization",1,0,3,70,40,9,5,19,14,0,0,19.616846921797,18.3124326288965,-1.30441429290052,2,30,5
12,11.84,"Male",0,"VARNOUN-12","DINO-RIGHT-FD","DINO","RIGHT","LEFT",15845,0.65952133194589,8,14.242928452579,13.4551495016611,12.2333333333333,14.8752079866889,11.9,9.9,16.8718801996672,12.0333333333333,2475,0.823627287853577,0.458585858585859,0.567333333333333,"Categorization",3,3,9,55,31,7,3,15,5,2,0,13.7016548185656,12.6763033832501,-1.02535143531545,6,24,10
13,11.88,"Female",0,"VARNOUN-12","FISH-LEFT-FD","FISH","LEFT","RIGHT",16805,0.699770976473038,8,13.8,14.1763727121464,19.4991652754591,16.1,9.98336106489185,14,12.4916943521595,11.9333333333333,1575,0.524126455906822,0.495238095238095,0.466666666666667,"No Categorization",9,3,18,49,40,0,0,15,11,0,0,15.8938844969014,12.1020971875962,-3.79178730930521,9,9,4
14,11.74,"Female",0,"VARNOUN-12","FISH-LEFT-FD","FISH","LEFT","RIGHT",10705,0.445670274771024,8,5.86666666666667,7.64119601328904,9.41569282136895,13.4891485809683,7.60797342192691,11.9134775374376,6.82196339434276,8.56666666666667,1710,0.569051580698835,0.505847953216374,0.434666666666667,"No Categorization",7,0,13,88,50,11,7,78,47,10,5,9.10317602057324,8.72752025509348,-0.375655765479756,6,38,31
15,11.84,"Female",0,"VARNOUN-12","FISH-RIGHT-DF","FISH","RIGHT","LEFT",13940,0.580349708576187,8,14.1,13.2445923460898,16.8614357262103,16.9717138103161,15.2079866888519,7.3,2.15946843853821,7.03333333333333,1785,0.594009983361065,0.431372549019608,0.451333333333333,"No Categorization",17,4,27,68,48,8,1,37,24,4,0,15.2944354706541,7.92519711518086,-7.36923835547319,10,20,13
16,12.24,"Male",0,"VARNOUN-12","FISH-LEFT-FD","FISH","LEFT","RIGHT",18065,0.751925078043704,8,16.5723793677205,18.2,16.2666666666667,17.7703826955075,13.0333333333333,10.8305647840532,13.1229235880399,14.5242070116861,1945,0.647254575707155,0.640102827763496,0.638666666666667,"Categorization",5,0,7,47,31,7,0,7,3,0,0,17.2023571824737,12.8777571792781,-4.32460000319555,2,16,4
17,12.37,"Male",0,"VARNOUN-12","FISH-RIGHT-FD","FISH","RIGHT","RIGHT",13150,0.547916666666667,8,15.7333333333333,14.1471571906355,11.0517529215359,10.7333333333333,7.90697674418605,7.56666666666667,9.35108153078203,11.2,2395,0.797004991680532,0.551148225469729,0.599333333333333,"Categorization",8,1,13,59,40,5,1,38,29,2,0,12.9163941947095,9.00618123540869,-3.91021295930081,5,19,9
18,12.4,"Male",0,"VARNOUN-12","DINO-LEFT-DF","DINO","LEFT","RIGHT",13595,0.56575114440283,8,13.3777038269551,12.2259136212625,7.66666666666667,12.3255813953488,8.13333333333333,9.88313856427379,14.7420965058236,12.1464226289517,2585,0.860232945091514,0.597678916827853,0.575333333333333,"Categorization",4,0,5,NA,NA,NA,NA,NA,NA,NA,NA,11.3989663775583,11.2262477580956,-0.172718619462664,1,NA,NA
19,11.62,"Female",0,"VARNOUN-12","FISH-LEFT-DF","FISH","LEFT","LEFT",13075,0.544224765868887,8,10.5333333333333,13.6212624584718,10.3,14.21926910299,7.47913188647746,11.3188647746244,8.47176079734219,11.1148086522463,890,0.296173044925125,0.359550561797753,0.360893854748603,"No Categorization",6,2,10,67,42,9,3,28,14,2,0,12.1684662236988,9.59614152767259,-2.57232469602619,4,25,14
20,11.81,"Female",0,"VARNOUN-12","FISH-RIGHT-DF","FISH","RIGHT","LEFT",16540,0.688449531737773,8,18.1,16.046511627907,15.3666666666667,13.2220367278798,12.1464226289517,13.5440931780366,11.8272425249169,9.9,1250,0.415973377703827,0.512,0.512330946698488,"Categorization",4,0,6,73,43,10,4,16,12,0,0,15.6838037556134,11.8544395829763,-3.82936417263708,2,30,4
21,11.61,"Male",0,"VARNOUN-12","FISH-LEFT-FD","FISH","LEFT","RIGHT",12247,0.510079133694294,8,8.2,11.4617940199336,12.7787021630616,13.5893155258765,7.01168614357262,11.0333333333333,6.9351081530782,10.6,1235,0.410981697171381,0.639676113360324,0.638331996792302,"Categorization",1,0,1,24,19,2,0,13,11,0,0,11.5074529272179,8.89503190749603,-2.6124210197219,0,5,2
22,12.5,"Male",0,"VARNOUN-12","DINO-LEFT-FD","DINO","LEFT","LEFT",7540,0.313905079100749,8,8.9,4.95840266222962,5.25790349417637,4.46666666666667,7.73333333333333,5.96666666666667,3.7936772046589,9.15141430948419,2215,0.737104825291181,0.221218961625282,0.279333333333333,"No Categorization",5,1,7,67,47,8,1,3,1,0,0,5.89574320576816,6.66127287853577,0.765529672767608,2,20,2
23,11.84,"Female",0,"VARNOUN-12","FISH-LEFT-FD","FISH","LEFT","RIGHT",16925,0.704621149042465,8,17.8702163061564,16.7946577629382,15.1747088186356,14.6422628951747,13.0564784053156,12.712146422629,11.8196994991653,10.6666666666667,1805,0.600665557404326,0.537396121883656,0.444666666666667,"No Categorization",7,0,12,NA,NA,NA,NA,NA,NA,NA,NA,16.1204614457262,12.0637477484442,-4.05671369728207,5,NA,NA
24,12.3,"Male",0,"VARNOUN-12","FISH-RIGHT-DF","FISH","RIGHT","LEFT",10755,0.447845096814491,8,3.93989983305509,7.73333333333333,5.52412645590682,13.2666666666667,8.77076411960133,9.86666666666667,10.3171953255426,12.2259136212625,2095,0.697171381031614,0.536992840095465,0.601333333333333,"Categorization",4,3,11,NA,NA,NA,NA,NA,NA,NA,NA,7.61600657224048,10.2951349332683,2.67912836102779,7,NA,NA
